Species,Site,Tree,Fruit,Head_Length_mm,Head_Width_mm,Thorax_Length_mm,Thorax_Width_mm,Abdomen_Length_mm,Abdomen_Width_mm,Ovipositor_Length_mm,Ovipositor_Width_mm,Forewing_Area_mm^2,Hindwing_Area_mm^2,Forewing_Length_mm
Het1,S96,T34,F4,0.566,0.698,0.767,0.494,1.288,0.504,0.376,0.098,1.339,0.294,2.122
Het1,S96,T36,F8,0.505,0.607,0.784,0.527,1.059,0.43,0.274,0.072,0.89,0.195,1.765
Het1,S113,T4M,F11,0.511,0.622,0.769,0.511,1.107,0.504,0.359,0.062,0.975,0.214,1.875
Het1,S113,T4N,F26,0.479,0.601,0.766,0.407,1.242,0.446,0.331,0.065,0.955,0.209,1.794
Het1,S172,T2,F3,0.545,0.707,0.828,0.561,1.367,0.553,0.395,0.081,1.361,0.361,2.13
Het1,S172,T6,F7,0.525,0.651,0.852,0.59,1.408,0.618,0.35,0.085,1.15,0.308,1.981
Het1,S172,T4,F3,0.525,0.665,0.721,0.534,1.22,0.592,0.307,0.083,1.472,0.379,2.205
Het1,S172,T30,F8,0.524,0.655,0.842,0.516,1.318,0.537,0.304,0.068,1.163,0.315,1.922
Het1,S158,T6A,F5,0.527,0.628,0.637,0.614,1.133,0.468,0.351,0.062,0.993,0.303,1.785
Het1,S158,T29,F10,0.547,0.687,0.787,0.583,1.333,0.591,0.384,0.068,1.275,0.361,2.009
Het1,S70,T201,F19,0.528,0.622,0.72,0.546,1.207,0.441,0.319,0.067,0.925,0.262,1.814
Het1,S70,T56,F1,0.6,0.688,0.907,0.634,1.512,0.591,0.385,0.069,1.482,0.429,2.243
Het1,S70,T58,F6,0.528,0.645,0.807,0.437,1.197,0.517,0.36,0.082,0.946,0.313,1.901
Het1,S70,T38,F1,0.371,0.483,0.523,0.357,0.881,0.34,0.264,0.054,1.208,0.329,1.999
Het1,S96,T34,F6,0.52,0.631,0.816,0.519,1.235,0.528,0.381,0.08,1.073,0.271,1.938
Het1,S96,T36,F3,0.501,0.603,0.739,0.49,1.087,0.41,0.36,0.06,0.883,0.263,1.7
