"Visit_number","Flower_colour","Flower_location","Flower_length","Pollinator_time"
1,"Purple","Sun",3.068,0.0589
2,"Red","Sun",2.8786,0.0323
3,"White","Shade",2.6574,0.7536
4,"White","Sun",2.7484,0.1262
5,"Red","Sun",2.6653,0.0165
6,"Red","Shade",3.2956,1.09
7,"Red","Sun",2.6172,0.0297
8,"Purple","Sun",3.1378,0.4038
9,"Red","Shade",3.0028,0.3912
10,"Red","Shade",2.801,0.0119
11,"Purple","Sun",3.137,0.3921
12,"White","Shade",3.3569,0.1203
13,"Purple","Sun",3.2227,0.1863
14,"Purple","Sun",2.8504,0.0677
15,"Purple","Sun",2.9979,0.3048
16,"White","Shade",2.9731,0.0206
17,"Purple","Sun",2.9033,0.1238
18,"White","Sun",2.8009,0.369
19,"White","Shade",2.78,0.4673
20,"White","Shade",2.7828,0.5575
21,"Purple","Shade",2.9086,0.2479
22,"Red","Sun",3.2217,0.0972
23,"White","Shade",2.7349,0.5216
24,"Purple","Sun",2.8594,0.0748
25,"White","Shade",2.4812,0.0776
26,"Purple","Sun",3.0756,0.0113
27,"White","Shade",3.0026,0.6334
28,"Red","Shade",2.7959,0.0814
29,"White","Shade",3.0759,0.4282
30,"Purple","Shade",3.0505,0.1466
31,"Purple","Sun",2.8715,0.0354
32,"Purple","Sun",2.8983,0.0938
33,"White","Shade",2.9879,0.0912
34,"Purple","Sun",2.6897,0.0559
35,"White","Sun",3.1279,0.2661
36,"Red","Sun",3.2943,0.2701
37,"White","Sun",3.0044,0.1529
38,"White","Sun",3.1527,0.2954
39,"Red","Shade",2.9536,0.591
40,"White","Sun",2.9368,0.1007
41,"White","Sun",2.3125,0.052
42,"Red","Shade",3.2469,0.4112
43,"White","Shade",2.8594,0.0871
44,"Red","Sun",3.2072,0.035
45,"White","Sun",2.9028,0.1974
46,"White","Sun",2.8146,0.2304
47,"White","Shade",3.1497,0.4998
48,"White","Shade",3.1718,0.1081
49,"White","Sun",2.8478,0.6459
50,"White","Shade",2.9656,0.4471
51,"Purple","Sun",3.1255,0.0626
52,"Red","Sun",2.9074,0.089
53,"White","Sun",3.0312,0.1057
54,"White","Sun",3.3719,0.6452
55,"White","Shade",3.1932,0.0677
56,"White","Sun",3.3616,1.3442
57,"Red","Shade",2.864,0.6993
58,"White","Sun",3.2818,0.4994
59,"White","Sun",2.9847,0.0284
60,"Purple","Sun",2.9184,0.031
61,"Purple","Shade",2.8512,0.217
62,"White","Shade",2.3917,0.2117
63,"White","Sun",2.9673,0.1069
64,"Purple","Sun",2.6886,0.1799
65,"Purple","Shade",3.0084,0.0924
66,"Purple","Shade",2.8994,0.2358
67,"Purple","Sun",3.0961,0.1595
68,"White","Shade",2.6577,0.1549
69,"White","Shade",3.0234,0.2704
70,"White","Sun",3.0009,0.0919
71,"White","Shade",3.0522,0.0444
72,"White","Sun",3.0365,0.388
73,"Purple","Sun",3.0173,0.1997
74,"White","Sun",3.2417,0.0281
75,"Red","Sun",3.0229,0.7127
76,"White","Shade",2.6606,0.1234
77,"Purple","Shade",3.093,0.0398
78,"Red","Sun",2.822,0.2626
79,"Purple","Sun",2.9207,0.3833
80,"White","Shade",3.1884,0.096
81,"Red","Sun",2.9828,0.0642
82,"Purple","Sun",3.0921,0.3281
83,"Red","Sun",2.7567,0.0211
84,"Purple","Shade",2.6244,0.1594
85,"Purple","Sun",3.2885,0.4275
86,"Purple","Shade",2.8817,0.0754
87,"Purple","Shade",3.1969,0.149
88,"Red","Shade",3.0158,0.2429
89,"White","Sun",2.9166,0.0096
90,"Purple","Sun",3.0357,0.1228
91,"Purple","Sun",3.2117,0.4058
92,"White","Shade",2.6606,0.2679
93,"White","Shade",3.1299,0.0553
94,"Red","Shade",3.0641,0.2344
95,"White","Shade",2.7887,0.2249
96,"Red","Shade",3.4835,0.1148
97,"White","Sun",2.899,0.3283
98,"Red","Shade",3.2072,0.0107
99,"White","Shade",2.8345,0.1548
100,"Purple","Shade",3.4593,0.2675
101,"White","Shade",2.9759,0.7006
102,"Red","Sun",3.0872,0.014
103,"Red","Sun",3.0188,0.002
104,"Purple","Sun",3.3578,0.2397
105,"Purple","Shade",2.6005,0.0509
106,"Purple","Shade",2.7754,0.0277
107,"Purple","Sun",2.8794,0.0432
108,"White","Shade",2.9561,0.2345
109,"Red","Sun",2.7587,0.3776
110,"White","Shade",3.2044,0.2171
111,"White","Sun",3.0959,0.5885
112,"White","Shade",3.0061,0.3271
113,"Purple","Shade",2.9477,0.1014
114,"White","Shade",3.057,0.2031
115,"White","Shade",2.9303,0.0077
116,"Purple","Shade",2.9599,0.552
117,"White","Shade",3.2123,0.0145
118,"Red","Shade",3.069,0.3494
119,"White","Shade",3.0657,0.0611
120,"Red","Sun",2.932,0.0321
121,"Red","Shade",2.9949,0.0333
122,"White","Sun",3.2708,0.2152
123,"Red","Shade",3.141,0.2496
124,"Red","Shade",2.9425,0.1786
125,"Purple","Sun",2.8336,0.6142
126,"White","Shade",2.8893,0.0601
127,"Purple","Sun",3.1665,0.5119
128,"White","Shade",2.8512,0.1058
129,"White","Shade",2.8305,0.0658
130,"Purple","Shade",2.9978,0.8619
131,"Red","Shade",3.2752,0.0253
132,"Red","Shade",3.2239,0.2366
133,"White","Sun",3.1602,0.3345
134,"Purple","Shade",3.261,0.4091
135,"Red","Sun",2.8539,0.0195
136,"Purple","Shade",3.0259,0.0379
137,"Purple","Sun",3.1186,0.8768
138,"Red","Shade",2.8951,0.5278
139,"Purple","Shade",3.1795,0.1719
